City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Port-Cartier,CA,69.93,broken clouds,50.0334,-66.8654,Le Q'Artier
6,Conselheiro Pena,BR,67.42,light rain,-19.1722,-41.4722,Hotel Bela Adormecida
16,Andenes,NO,61.47,broken clouds,69.3143,16.1194,Hotell Marena
24,Mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
26,Ambilobe,MG,69.46,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
30,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Morondava,MG,70.72,clear sky,-20.2833,44.2833,La Case Bambou
33,Bangor,GB,59.29,broken clouds,54.6534,-5.669,The Marine Court Hotel
35,Havoysund,NO,59.88,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
38,Busselton,AU,57.09,overcast clouds,-33.65,115.3333,Observatory Guest House
39,Saint-Philippe,RE,69.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
44,Port Alfred,ZA,59.04,broken clouds,-33.5906,26.891,The Halyards Hotel
46,Poum,NC,70.11,overcast clouds,-20.2333,164.0167,Gîte kajeon
47,Tshela,CD,67.57,broken clouds,-4.9833,12.9333,Hotel Mirador
49,Wladyslawowo,PL,65.93,overcast clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
51,Port Elizabeth,ZA,57.43,overcast clouds,-33.918,25.5701,39 On Nile Guest House
53,Plouzane,FR,57.52,broken clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
57,Ranikhet,IN,63.7,overcast clouds,29.65,79.4167,Bay Berry by One Earth
58,Aras,ES,63.01,overcast clouds,42.5617,-2.356,Jardines de Viana Spa
60,Cidreira,BR,61.23,clear sky,-30.1811,-50.2056,Hotel Castelo
65,Vila Velha,BR,66.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
67,Lerik,AZ,60.44,broken clouds,38.7726,48.4128,9 QARDAŞ
69,Chicama,PE,63.14,clear sky,-7.8447,-79.1469,Balihai Bungalows
72,Rikitea,PF,74.07,few clouds,-23.1203,-134.9692,People ThankYou
73,Coquimbo,CL,56.93,broken clouds,-29.9533,-71.3436,Punto de encuentro
74,Torbay,CA,72.57,overcast clouds,47.6666,-52.7314,Gallows Cove
75,Perevolotskiy,RU,64.42,few clouds,51.8763,54.1938,GRAND OASIS
79,Tonder,DK,61.21,overcast clouds,54.9331,8.8667,Filsø Hotel (Bowler Inn)
81,Bergen,NO,63.64,light rain,60.392,5.328,Clarion Collection Hotel Havnekontoret
84,Loviisa,FI,60.3,moderate rain,60.4566,26.2251,Loviisa Camping
85,Ushtobe,KZ,66.87,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
87,Peniche,PT,65.73,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
89,Yellowknife,CA,67.55,overcast clouds,62.456,-114.3525,The Explorer Hotel
90,Carnarvon,AU,64.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
91,Yar-Sale,RU,55.76,few clouds,66.8333,70.8333,Yalemd
94,Joshimath,IN,70.88,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
95,Duluth,US,66.18,overcast clouds,46.7833,-92.1066,South Pier Inn
96,Cherskiy,RU,59.11,broken clouds,68.75,161.3,Gostinitsa
99,Derzhavinsk,KZ,65.55,overcast clouds,51.1,66.3167,Ooo.khim Baza
100,Riviere-Au-Renard,CA,67.77,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
103,Clacton-On-Sea,GB,61.79,broken clouds,51.7897,1.156,The Sandrock
104,Bama,NG,74.61,broken clouds,11.5221,13.6856,UN Humanitarian Hub
107,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
108,Okha,RU,56.91,overcast clouds,53.5739,142.9478,Империя
111,Chuy,UY,62.89,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
112,Ust-Nera,RU,67.3,scattered clouds,64.5667,143.2,Hotel Ust-Nera
114,Brae,GB,57.11,overcast clouds,60.3964,-1.353,Busta House Hotel
120,Hualmay,PE,65.7,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
121,Kharp,RU,60.69,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
122,Esfahan,IR,74.84,broken clouds,32.6572,51.6776,Abbasi Hotel
124,Waingapu,ID,73.11,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
131,Castro,BR,56.21,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
135,Severo-Kurilsk,RU,55.24,broken clouds,50.6789,156.125,Апартаменты/Квартиры посуточно
138,Muros,ES,63.23,clear sky,42.7762,-9.0603,Apartment Av. Castelao
139,Bambous Virieux,MU,68.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
140,Zeya,RU,57.36,overcast clouds,53.75,127.2667,Kapital Inn
141,Lembang,ID,61.81,few clouds,-6.8117,107.6175,Imah Seniman
146,Quatre Cocos,MU,68.11,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
148,Saldanha,ZA,56.61,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
150,Klaksvik,FO,59.92,overcast clouds,62.2266,-6.589,Airbnb rooms
153,Flin Flon,CA,72.99,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
154,East London,ZA,59.5,broken clouds,-33.0153,27.9116,Tu Casa
156,Zhigansk,RU,66.16,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
157,Zarate,AR,72.03,clear sky,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
161,Ribeira Grande,PT,69.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
162,Geraldton,AU,61.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
