City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Georgetown,MY,2021-08-07 22:07:59,5.4112,100.3354,81.9,86,20,4.61,thunderstorm
1,Mataura,NZ,2021-08-07 22:07:26,-46.1927,168.8643,36.48,94,100,1.21,overcast clouds
2,Port-Cartier,CA,2021-08-07 22:07:49,50.0334,-66.8654,69.93,59,79,10.51,broken clouds
3,Hobart,AU,2021-08-07 22:11:33,-42.8794,147.3294,36.27,88,0,1.99,clear sky
4,Barrow,US,2021-08-07 22:11:33,71.2906,-156.7887,39.22,73,75,9.22,broken clouds
5,Ushuaia,AR,2021-08-07 22:11:34,-54.8,-68.3,29.86,93,90,35.68,snow
6,Conselheiro Pena,BR,2021-08-07 22:11:34,-19.1722,-41.4722,67.42,70,100,9.48,light rain
7,Touros,BR,2021-08-07 22:11:34,-5.1989,-35.4608,77.9,77,73,17.87,broken clouds
8,Mattoon,US,2021-08-07 22:07:50,39.4831,-88.3728,87.6,65,1,11.5,clear sky
9,Meadow Lake,US,2021-08-07 22:07:50,34.8014,-106.5436,97.68,15,42,15.19,scattered clouds
10,Lalmohan,BD,2021-08-07 22:07:51,22.3384,90.7419,82.15,85,98,13.13,overcast clouds
11,Punta Arenas,CL,2021-08-07 22:07:38,-53.15,-70.9167,35.71,80,0,26.46,clear sky
12,Sioux Lookout,CA,2021-08-07 22:07:51,50.1001,-91.917,77.27,39,99,7.2,overcast clouds
13,Faanui,PF,2021-08-07 22:09:18,-16.4833,-151.75,78.22,72,27,6.89,scattered clouds
14,Portland,US,2021-08-07 22:10:52,45.5234,-122.6762,84.45,62,90,1.01,overcast clouds
15,Upernavik,GL,2021-08-07 22:11:37,72.7868,-56.1549,40.84,95,100,9.42,overcast clouds
16,Andenes,NO,2021-08-07 22:03:51,69.3143,16.1194,61.47,82,77,2.3,broken clouds
17,Kavaratti,IN,2021-08-07 22:11:38,10.5669,72.642,81.0,79,100,20.13,overcast clouds
18,Bluff,NZ,2021-08-07 22:11:38,-46.6,168.3333,36.81,77,100,3.09,overcast clouds
19,Bethel,US,2021-08-07 22:11:39,41.3712,-73.414,82.49,70,1,4.61,clear sky
20,Ilulissat,GL,2021-08-07 22:11:39,69.2167,-51.1,46.42,57,20,3.44,few clouds
21,Avarua,CK,2021-08-07 22:11:39,-21.2078,-159.775,78.85,69,20,8.05,few clouds
22,Provideniya,RU,2021-08-07 22:07:26,64.3833,-173.3,44.71,81,100,6.2,light rain
23,Verkhnyaya Inta,RU,2021-08-07 22:07:53,65.9811,60.3094,51.89,95,100,6.35,overcast clouds
24,Mahajanga,MG,2021-08-07 22:05:31,-15.7167,46.3167,69.82,88,20,3.44,few clouds
25,Ostrovnoy,RU,2021-08-07 22:11:40,68.0531,39.5131,54.45,82,8,9.55,clear sky
26,Ambilobe,MG,2021-08-07 22:11:40,-13.2,49.05,69.46,84,89,2.71,overcast clouds
27,Houma,US,2021-08-07 22:07:54,29.5958,-90.7195,95.0,55,41,4.94,scattered clouds
28,Leningradskiy,RU,2021-08-07 22:11:41,69.3833,178.4167,38.55,76,87,13.89,overcast clouds
29,Khatanga,RU,2021-08-07 22:11:42,71.9667,102.5,51.87,69,37,7.0,scattered clouds
30,Mahebourg,MU,2021-08-07 22:11:42,-20.4081,57.7,68.29,88,75,3.44,broken clouds
31,Morondava,MG,2021-08-07 22:01:50,-20.2833,44.2833,70.72,58,0,14.03,clear sky
32,Jamestown,US,2021-08-07 22:07:46,42.097,-79.2353,78.39,71,1,3.0,clear sky
33,Bangor,GB,2021-08-07 22:07:55,54.6534,-5.669,59.29,94,75,2.3,broken clouds
34,Chokurdakh,RU,2021-08-07 22:11:43,70.6333,147.9167,58.6,45,36,7.11,scattered clouds
35,Havoysund,NO,2021-08-07 22:11:43,70.9963,24.6622,59.88,73,85,6.91,overcast clouds
36,Jibuti,DJ,2021-08-07 22:07:56,11.5,42.5,87.22,49,55,4.97,broken clouds
37,Izvestkovyy,RU,2021-08-07 22:07:56,48.9833,131.55,57.31,96,100,6.31,overcast clouds
38,Busselton,AU,2021-08-07 22:11:44,-33.65,115.3333,57.09,91,96,3.83,overcast clouds
39,Saint-Philippe,RE,2021-08-07 22:09:27,-21.3585,55.7679,69.35,80,39,12.37,light rain
40,Martapura,ID,2021-08-07 22:07:57,-3.4167,114.85,77.09,94,90,1.14,overcast clouds
41,Vaini,TO,2021-08-07 22:07:57,-21.2,-175.2,71.76,73,75,5.75,broken clouds
42,Hasaki,JP,2021-08-07 22:11:45,35.7333,140.8333,77.4,94,100,17.98,heavy intensity rain
43,Svetlaya,RU,2021-08-07 22:11:45,46.5389,138.3297,59.86,94,100,19.1,moderate rain
44,Port Alfred,ZA,2021-08-07 22:11:45,-33.5906,26.891,59.04,84,71,12.68,broken clouds
45,Piedras Negras,MX,2021-08-07 22:07:58,28.7,-100.5167,97.38,44,1,11.5,clear sky
46,Poum,NC,2021-08-07 22:03:36,-20.2333,164.0167,70.11,68,99,7.78,overcast clouds
47,Tshela,CD,2021-08-07 22:07:59,-4.9833,12.9333,67.57,97,79,3.0,broken clouds
48,Aksarka,RU,2021-08-07 22:11:25,66.5606,67.7975,57.11,73,76,14.83,broken clouds
49,Wladyslawowo,PL,2021-08-07 22:07:59,54.7909,18.4009,65.93,82,100,9.35,overcast clouds
50,Beringovskiy,RU,2021-08-07 22:11:46,63.05,179.3167,43.27,88,100,24.43,light rain
51,Port Elizabeth,ZA,2021-08-07 22:11:47,-33.918,25.5701,57.43,84,100,7.38,overcast clouds
52,Airai,TL,2021-08-07 22:11:47,-8.9266,125.4092,52.21,66,21,2.77,few clouds
53,Plouzane,FR,2021-08-07 22:04:11,48.3833,-4.6167,57.52,88,75,6.91,broken clouds
54,Zlynka,RU,2021-08-07 22:08:00,52.4267,31.7378,56.32,93,74,6.04,broken clouds
55,New Norfolk,AU,2021-08-07 22:07:27,-42.7826,147.0587,35.92,87,99,2.75,overcast clouds
56,Vera Cruz,BR,2021-08-07 22:08:01,-12.6333,-41.0333,68.49,64,78,8.79,broken clouds
57,Ranikhet,IN,2021-08-07 22:08:01,29.65,79.4167,63.7,91,97,1.79,overcast clouds
58,Aras,ES,2021-08-07 22:08:01,42.5617,-2.356,63.01,55,90,3.44,overcast clouds
59,Guerrero Negro,MX,2021-08-07 22:03:59,27.9769,-114.0611,81.16,56,49,13.58,scattered clouds
60,Cidreira,BR,2021-08-07 22:08:14,-30.1811,-50.2056,61.23,90,2,11.61,clear sky
61,Kodinsk,RU,2021-08-07 22:08:02,58.6881,99.1844,57.52,66,77,2.3,broken clouds
62,Victoria,HK,2021-08-07 22:07:46,22.2855,114.1577,84.33,89,93,6.08,overcast clouds
63,Hithadhoo,MV,2021-08-07 22:11:50,-0.6,73.0833,81.91,74,100,8.25,overcast clouds
64,Isangel,VU,2021-08-07 22:11:50,-19.55,169.2667,75.31,64,75,10.36,haze
65,Vila Velha,BR,2021-08-07 22:11:50,-20.3297,-40.2925,66.15,94,90,6.91,overcast clouds
66,Luocheng,CN,2021-08-07 22:08:03,29.3848,104.0286,75.09,93,100,1.68,light rain
67,Lerik,AZ,2021-08-07 22:08:03,38.7726,48.4128,60.44,46,83,5.39,broken clouds
68,Hermanus,ZA,2021-08-07 22:11:51,-34.4187,19.2345,49.8,74,96,2.44,overcast clouds
69,Chicama,PE,2021-08-07 22:11:52,-7.8447,-79.1469,63.14,70,8,10.18,clear sky
70,Sarakhs,IR,2021-08-07 22:08:04,36.5449,61.1577,82.54,24,0,2.3,clear sky
71,Mar Del Plata,AR,2021-08-07 22:07:17,-38.0023,-57.5575,51.82,87,20,10.36,few clouds
72,Rikitea,PF,2021-08-07 22:07:48,-23.1203,-134.9692,74.07,79,12,13.73,few clouds
73,Coquimbo,CL,2021-08-07 22:10:38,-29.9533,-71.3436,56.93,67,75,11.5,broken clouds
74,Torbay,CA,2021-08-07 22:03:20,47.6666,-52.7314,72.57,81,95,4.0,overcast clouds
75,Perevolotskiy,RU,2021-08-07 22:08:05,51.8763,54.1938,64.42,41,23,6.33,few clouds
76,Narsaq,GL,2021-08-07 22:11:53,60.9167,-46.05,48.42,95,100,7.92,moderate rain
77,Ladario,BR,2021-08-07 22:08:06,-19.0047,-57.6017,82.26,27,0,2.59,clear sky
78,Lebu,CL,2021-08-07 22:09:33,-37.6167,-73.65,48.76,75,27,21.7,scattered clouds
79,Tonder,DK,2021-08-07 22:08:06,54.9331,8.8667,61.21,92,97,6.49,overcast clouds
80,Norman Wells,CA,2021-08-07 22:11:54,65.282,-126.8329,48.51,60,100,7.78,overcast clouds
81,Bergen,NO,2021-08-07 22:08:07,60.392,5.328,63.64,74,75,1.14,light rain
82,Kyabe,TD,2021-08-07 22:08:07,9.4515,18.9449,71.74,97,96,1.7,overcast clouds
83,San Patricio,US,2021-08-07 22:11:54,28.017,-97.5169,94.15,51,0,17.54,clear sky
84,Loviisa,FI,2021-08-07 22:08:08,60.4566,26.2251,60.3,96,100,8.48,moderate rain
85,Ushtobe,KZ,2021-08-07 22:08:08,45.2514,77.9838,66.87,32,0,5.41,clear sky
86,Kapaa,US,2021-08-07 22:08:08,22.0752,-159.319,86.32,65,40,1.99,scattered clouds
87,Peniche,PT,2021-08-07 22:08:09,39.3558,-9.3811,65.73,85,6,15.84,clear sky
88,Butaritari,KI,2021-08-07 22:08:38,3.0707,172.7902,82.42,67,11,14.65,few clouds
89,Yellowknife,CA,2021-08-07 22:08:09,62.456,-114.3525,67.55,55,100,16.26,overcast clouds
90,Carnarvon,AU,2021-08-07 22:11:56,-24.8667,113.6333,64.47,90,90,6.91,overcast clouds
91,Yar-Sale,RU,2021-08-07 22:08:10,66.8333,70.8333,55.76,85,17,12.03,few clouds
