City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Georgetown,MY,81.9,thunderstorm,5.4112,100.3354,Cititel Penang
7,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
10,Lalmohan,BD,82.15,overcast clouds,22.3384,90.7419,Sundorbon courier service
12,Sioux Lookout,CA,77.27,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
13,Faanui,PF,78.22,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
14,Portland,US,84.45,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
17,Kavaratti,IN,81.0,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
19,Bethel,US,82.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
21,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
32,Jamestown,US,78.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
42,Hasaki,JP,77.4,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
59,Guerrero Negro,MX,81.16,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
62,Victoria,HK,84.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
63,Hithadhoo,MV,81.91,overcast clouds,-0.6,73.0833,Scoop Guest House
64,Isangel,VU,75.31,haze,-19.55,169.2667,Tanna Lodge
66,Luocheng,CN,75.09,light rain,29.3848,104.0286,Luocheng Hotel
70,Sarakhs,IR,82.54,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
77,Ladario,BR,82.26,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
88,Butaritari,KI,82.42,few clouds,3.0707,172.7902,Isles Sunset Lodge
93,Poso,ID,78.15,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
105,Seoul,KR,76.51,overcast clouds,37.5683,126.9778,롯데호텔 서울
106,Garowe,SO,75.18,few clouds,8.4054,48.4845,Curubo Hotel
113,Boa Vista,BR,78.78,heavy intensity rain,2.8197,-60.6733,Aipana Plaza Hotel
116,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
123,Segou,ML,75.67,scattered clouds,13.4317,-6.2157,Comme chez soi
129,Rock Sound,BS,83.5,clear sky,24.9,-76.2,Rock Sound Club
130,Atuona,PF,77.2,light rain,-9.8,-139.0333,Villa Enata
132,Chiang Mai,TH,75.27,few clouds,18.75,99.0,"Holiday Inn Chiangmai, an IHG Hotel"
142,Komsomolskiy,UZ,79.52,broken clouds,40.4272,71.7189,Ikathouse
149,Broome,US,84.09,light rain,42.2506,-75.833,Chenango Valley State Park
155,Ixtapa,MX,80.33,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
171,Sheboygan,US,76.98,moderate rain,43.7333,-87.9334,Baymont by Wyndham Plymouth
173,Westport,US,84.02,clear sky,41.1415,-73.3579,The Westport Inn
174,Barra Do Corda,BR,83.86,clear sky,-5.5,-45.25,Belchior Palace Hotel
176,Banda Aceh,ID,79.25,overcast clouds,5.5577,95.3222,Sulthan Hotel International
181,Kijang,KR,75.92,overcast clouds,35.2442,129.2139,Samyang Beach Villa
182,Elizabeth City,US,75.25,light rain,36.2946,-76.2511,Hampton Inn Elizabeth City
192,Kavieng,PG,81.95,moderate rain,-2.5744,150.7967,Nusa Island Retreat
193,Svay Rieng,KH,79.03,overcast clouds,11.0879,105.7993,Apsara guesthouse
194,Sabang,ID,82.31,overcast clouds,5.8933,95.3214,Hotel Citra
203,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
206,Dingle,PH,77.25,light rain,10.9995,122.6711,SEGAYA PROPERTY
211,Namie,JP,77.99,light rain,37.4833,141.0,いこいの村なみえ
220,Hobyo,SO,76.17,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
224,Katsuura,JP,78.91,very heavy rain,35.1333,140.3,Katsuura Hotel Mikazuki
226,Manggar,ID,82.24,overcast clouds,-2.8833,108.2667,Guest Hotel
231,Guiong,PH,77.7,moderate rain,6.4186,122.0258,"Mosque Buli Buli , Sumisip"
234,Bontang,ID,78.08,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
235,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
236,Harper,LR,76.75,overcast clouds,4.375,-7.7169,Screensaver
241,Bengkulu,ID,75.69,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
246,Fukue,JP,80.4,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
257,Kushima,JP,77.04,overcast clouds,31.4583,131.2333,Hanaoka
258,Mormugao,IN,76.26,broken clouds,15.4,73.8,Coconut Creek Resort
260,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
265,Qui Nhon,VN,82.2,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
271,Kardamas,GR,77.41,clear sky,37.7667,21.3333,Sunshine Villas
280,Suwannaphum,TH,79.63,overcast clouds,15.6035,103.8021,วรรณมณี รีสอร์ท
281,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
287,Shellbrook,CA,80.44,overcast clouds,53.2168,-106.4011,Shellbrook Hotel
289,Auki,SB,81.59,overcast clouds,-8.7676,160.7034,Auki Motel
290,Zomin,UZ,80.58,clear sky,39.9606,68.3958,Orol hotel
294,Bull Savanna,JM,82.35,scattered clouds,17.8868,-77.5902,Big Red's
296,Nizhniy Baskunchak,RU,82.45,clear sky,48.2198,46.8311,Arman hotel
297,Kloulklubed,PW,79.3,light rain,7.0419,134.2556,Storyboard Beach Resort
305,Greenfield,US,78.12,haze,42.9614,-88.0126,Brewtown Eatery Bar & Grill
307,Buenavista,PH,76.33,heavy intensity rain,8.9769,125.4089,Room For Rent
310,Sibolga,ID,76.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
311,Chardara,KZ,80.67,clear sky,41.2547,67.9692,Жанаргул
319,Caucaia,BR,81.03,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
320,Ternate,ID,76.5,light rain,0.8,127.4,Grand Dafam Bela Ternate
322,San Andres,CO,81.5,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
323,Tete,MZ,75.29,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
324,Gorontalo,ID,75.09,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
329,Korla,CN,76.1,clear sky,41.7597,86.1469,Gulisitan Hotel
331,Srivardhan,IN,79.23,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
338,Sulangan,PH,83.64,overcast clouds,11.1373,123.7228,Maia's Beach Resort
340,Wahpeton,US,81.32,overcast clouds,46.2652,-96.6059,Select Inn Breckenridge
343,Zhob,PK,80.49,scattered clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
355,Bambanglipuro,ID,75.06,scattered clouds,-7.95,110.2833,Puri Brata
359,Chalus,IR,76.46,clear sky,36.655,51.4204,نظام مهندسي ساختمان چالوس
363,Alexandria,EG,82.15,clear sky,31.2156,29.9553,Royal Crown Hotel
366,Kudahuvadhoo,MV,82.35,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
368,Montecristo,CO,83.44,broken clouds,8.2971,-74.4733,Hotel Maripaz
370,Shenjiamen,CN,79.66,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
373,Luis Correia,BR,79.9,scattered clouds,-2.8792,-41.6669,Hotel Amarração
375,Analipsis,GR,80.94,clear sky,35.3167,25.5667,Castello Village Resort
377,Tual,ID,80.58,broken clouds,-5.6667,132.75,Grand Vilia Hotel
381,Stettler,CA,83.75,moderate rain,52.3168,-112.7186,Ramada by Wyndham Stettler
383,Oriximina,BR,82.08,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
385,Hirara,JP,82.67,light intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
389,Itarema,BR,80.2,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
390,Majene,ID,76.69,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
393,Hanna,CA,78.87,broken clouds,51.6334,-111.9018,"West View Motel, Hanna, AB"
407,Namatanai,PG,79.95,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
411,Altamira,BR,81.59,few clouds,-3.2033,-52.2064,Requinte Hotel
413,Sidi Ali,DZ,76.03,clear sky,36.0998,0.4206,الغابة الترفيهية بورحمة
414,Morant Bay,JM,84.65,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
415,Sikandra Rao,IN,83.53,overcast clouds,27.7,78.4,Murli Krishna Mangal Dham
417,Nago,JP,81.03,heavy intensity rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
418,Cam Ranh,VN,82.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
427,Wadi Maliz,TN,83.88,scattered clouds,36.4681,8.5495,HOPITAL
434,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
435,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
441,Tautira,PF,84.22,broken clouds,-17.7333,-149.15,Pension Oaoa
442,Kismayo,SO,75.45,few clouds,-0.3582,42.5454,Agan-Hotel
447,Itoman,JP,80.98,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
449,Port Blair,IN,81.93,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
455,Sao Filipe,CV,78.84,broken clouds,14.8961,-24.4956,Hotel Xaguate
460,Madison Heights,US,84.88,scattered clouds,42.4859,-83.1052,Red Roof Inn Detroit - Warren
464,Bat Yam,IL,82.63,scattered clouds,32.0231,34.7503,Ruth Daniel Residence Hotel
466,Tezu,IN,77.32,light rain,27.9167,96.1667,Circuit House
468,Palmas,BR,84.07,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
470,Lompoc,US,82.56,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
471,Kokoda,PG,75.74,overcast clouds,-8.8785,147.7407,Daito Guest House
472,Sikar,IN,82.17,broken clouds,27.6167,75.15,Hotel Pink Shark
475,Dwarka,IN,81.59,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
478,Kalmunai,LK,78.08,overcast clouds,7.4167,81.8167,VS Villa
482,Tankara,IN,82.81,broken clouds,22.6667,70.7333,TAJ PAN
485,Lingao,CN,83.1,light rain,19.9103,109.6859,Lingao Ditai Inn
486,Nador,MA,77.25,clear sky,35.174,-2.9287,Hôtel La Giralda
488,Dabakala,CI,75.0,broken clouds,8.3667,-4.4333,Hôtel Campement
490,Honiara,SB,81.99,overcast clouds,-9.4333,159.95,Heritage Park Hotel
491,Axim,GH,76.15,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
493,San Policarpo,PH,79.56,overcast clouds,12.1791,125.5072,JM Lodge
494,Santa Fe,AR,78.01,clear sky,-31.6333,-60.7,Conquistador Hotel
501,Thatta,PK,81.79,broken clouds,24.7475,67.9235,We Care Guest House & Shadi lawn
507,Naze,JP,79.72,moderate rain,28.3667,129.4833,Amami Port Tower Hotel
509,Galle,LK,78.51,overcast clouds,6.0367,80.217,Amangalla
511,Benghazi,LY,81.01,clear sky,32.1167,20.0667,Tibesti Hotel
513,Kamarai,GR,79.63,clear sky,38.3,22.0,Hotel Kanelli Beach
516,Reconquista,AR,75.58,clear sky,-29.15,-59.65,Grand Hotel
517,Akyab,MM,79.88,broken clouds,20.15,92.9,Hotel Memory
520,Dakar,SN,81.48,few clouds,14.6937,-17.4441,Redface Studios Meublés
521,Pyapon,MM,78.42,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
522,Toyooka,JP,77.11,clear sky,35.5333,134.8333,O Hotel Toyooka
533,Puerto Suarez,BO,83.1,clear sky,-18.95,-57.8,Hotel casa real
534,Redmond,US,76.08,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
536,Mogadishu,SO,75.97,broken clouds,2.0371,45.3438,Hotel Juba
538,Buala,SB,79.75,light rain,-8.145,159.5921,Maringe Lagoon Lodge
539,Dakoro,NE,80.85,broken clouds,14.5106,6.765,Shagon mai liverpool
541,Dharampuri,IN,78.53,broken clouds,22.1667,75.35,taj hotel
542,Larap,PH,79.27,overcast clouds,14.299,122.6504,Montemayor Cove
544,Bela Vista,BR,79.05,clear sky,-22.1089,-56.5211,Bella Vista Palace Hotel
545,Kutum,SD,75.09,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
548,Sakaiminato,JP,78.73,few clouds,35.55,133.2333,味処・民宿 まつや
549,Monrovia,LR,76.77,scattered clouds,6.3005,-10.7969,Sunset Inn
558,Lorengau,PG,81.61,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
559,Pozo Colorado,PY,80.06,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
567,Japura,ID,76.46,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
574,Zhangzhou,CN,78.84,overcast clouds,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
580,Anloga,GH,76.89,light rain,5.7947,0.8973,Pin Drop Hotel
582,Manono,CD,77.23,broken clouds,-7.3,27.4167,Hotel hewa bora
584,Xiantao,CN,76.23,scattered clouds,30.3833,113.4,City Convenient Chain Hotel
585,Capitao Poco,BR,75.87,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
586,Nabire,ID,75.47,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
590,Catuday,PH,80.37,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
591,Gunjur,GM,80.67,scattered clouds,13.2019,-16.7339,Kuba Lodge
593,Sola,VU,78.49,overcast clouds,-13.8833,167.55,Leumerus Bungalows
597,Kathu,TH,82.22,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
598,Kailua,US,83.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
599,Casa Quemada,HN,78.96,light rain,15.1167,-88.0833,Balneario Elin
604,Bemidji,US,79.18,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
607,Bandarbeyla,SO,75.24,few clouds,9.4942,50.8122,JABIR HOTEL
608,Bubaque,GW,79.7,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
610,Chabahar,IR,82.31,overcast clouds,25.2919,60.643,هتل گدروشیا
611,Mumford,GH,75.76,broken clouds,5.2618,-0.759,Spanish Villa
612,Sinnamary,GF,78.91,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
616,Vozrozhdeniye,RU,78.24,heavy intensity rain,44.5503,38.2136,Guesthouse Ecodom Kurochka Ryaba
617,Tiarei,PF,84.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
619,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
623,Gizo,SB,81.57,light rain,-8.103,156.8419,Imagination Island
629,Staunton,US,83.95,clear sky,38.1496,-79.0717,Hotel 24 South
630,Urla,TR,79.2,clear sky,38.3229,26.764,ulice Restaurant & Cafe & Butik Otel
632,Corinth,GR,82.49,clear sky,37.9407,22.9573,Ephira Hotel
633,Yarmouth,US,84.18,clear sky,41.7057,-70.2286,Blue Rock Resort
634,Pasighat,IN,78.51,heavy intensity rain,28.0667,95.3333,Siang Guest House
636,Sao Miguel,BR,77.77,scattered clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
646,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
648,Tutoia,BR,79.52,few clouds,-2.7619,-42.2744,Pousada Guará's
649,Surt,LY,81.34,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
658,Kirakira,SB,81.54,overcast clouds,-10.4544,161.9205,SanBiz Lodge
659,Palmer,US,82.92,overcast clouds,42.1584,-72.3287,Wedgewood Motel
661,Bar Harbor,US,79.29,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
662,Sao Felix Do Xingu,BR,82.44,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
665,Nueva Gorgona,PA,82.4,overcast clouds,8.55,-79.8667,Coronado Luxury Club & Suites
671,Davila,PH,81.86,light rain,18.4726,120.5763,Blue Ridge Beach Resort
672,Maneadero,MX,82.18,few clouds,31.7167,-116.5667,Casa De Thompson
679,Kerema,PG,75.61,overcast clouds,-7.9631,145.7785,Frena Lodge
683,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
685,Pudur,IN,81.82,overcast clouds,13.0,79.15,VIT Guest House Annex
687,El Retorno,CO,77.41,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
